№ п/п,Категория,Дополнительные теги,Вопрос Исходник,Формальный,Unnamed: 5,Unnamed: 6,Неформальный,Unnamed: 8,Unnamed: 9,С сокращениями,Unnamed: 11,Unnamed: 12,Краткий ответ,Наименование ссылки на развернутый ответ (при необходимости),Развернутый ответ (при необходимости)
9.0,Забота компании о работнике,Компенсируемый социальный пакет,Какая категория работников входит в значимую группу персонала?,По каким критериям определяется значимость тех или иных групп персонала для КСП?,Как определяется состав значимых категорий персонала?,,Как определяют значимую категорию для КСП?,Как формируют состав значимых категорий персонала,,Критерии значимости категорий персонала для  КСП,,,"Состав значимых категорий персонала и их коэффициенты определяются филиалами ежегодно на основе определенных критериев согласно «Положению о компенсируемом социальном пакете (КСП), предоставляемом работникам ОАО «РЖД», утвержденному распоряжением ОАО «РЖД» от 4 марта 2011 г. № 465р. ",Критерии для определения значимых категорий персонала,"Критерии для определения значимых категорий персонала:
- дефицитность профессии. Дефицитность определяется с учетом таких кадровых показателей как текучести, тенденция текучести укомплектованность, коэффициент постоянства кадров, сменяемость кадров и другие ситуации на рынке труда региона, а также на основании целей и задач филиала. Обоснование предоставления КСП дефицитным профессиям состоит в их привлечении и удержании в Компании;
- участие работников во внедрении изменений в Компании (наставники, члены рабочих групп по новым проектам, которые выполняют дополнительные функции, связанные с внедрением изменений; участвуют в реализации инновационных проектов (в том числе молодежных). Обоснование предоставления КСП этим группам персонала состоит в моральной мотивации и поддержке внедрения инноваций;
- высокая квалификация работников, обеспечивающих основной производственный процесс для жизнедеятельности компании (высокая квалификация работников, входящих в список основных профессий; обладающие особыми компетенциями; работники, включенные в кадровый резерв и др.) Цель предоставления КСП - подчеркнуть важность работников высокой квалификации, используя механизм моральной мотивации;
- производственные показатели, эффективность труда (это подразделения, победившие в соревнованиях; работники, победившие в соревнованиях; работники, получившие благодарности, награды);
- Трудная жизненная ситуация работников – доход на одного члена семьи ниже прожиточного минимума на душу населения в соответствующем регионе. Определяется на основе совокупного дохода семьи на одного человека с учетов всех прав на льготы и гарантии в рамках федеральных программ. Величина прожиточного минимума на душу населения в регионах в Дальневосточном федеральном округе определяется в соответствии с методическими указаниями по формированию аналитического отчета «Численность работников с денежным доходом на одного члена семьи ниже прожиточного минимума», утвержденными от 30.09.2021 № 1400/ЦКИ. Критерий для предоставления КСП данной категории работников применяется на Дальневосточной железной дороге;
- прочие критерии, указанные в локальных нормативных актах Компании по вопросам кадровой и социальной политики."
10.0,Забота о работниках,КСП,Кому в дирекции положен КСП - компенсируемый социальный пакет?,Кому предоставляется компенсируемый социальный пакет?,Каким категориям работников предоставляется право на пользование компенсируемым социальным пакетом?,Кто является получателем КСП?,Категории работников для КСП,Кому положен КСП?,Я могу получить КСП?,У меня есть право на КСП?,,,"Узнать являетесь ли вы получателем КСП можно, обратившись к ответственному работнику за ведение КСП в вашем подразделении (обычно это специалист по управлению персоналом).

Состав значимых категорий персонала и их коэффициенты определяются филиалами ежегодно на основе определенных критериев согласно «Положению о компенсируемом социальном пакете (КСП), предоставляемом работникам ОАО «РЖД», утвержденному распоряжением ОАО «РЖД» от 4 марта 2011 г. № 465р.

Если ваша должность попадает под значимую категорию, то ответственный за ведение КСП предложит написать заявление, расскажет какие элементы вы сможете компенсировать и какие документы необходимо предоставить.",,
11.0,Забота о работниках,"КСП, льготы, компенсации",Какие существуют социальные пакеты?,Какие виды социальной поддержки существуют в компании?,,,Элементы соцпакета РЖД,Подробнее о соц пакете,,Из чего состоит соц пакет?,Что входит в соцпакет?,,"Система социальной поддержки работника в Компании включает:
- базовый социальный пакет;
- софинансируемый социальный пакет;
- компенсируемый социальный пакет;
- бонусный пакет.",Подробнее о каждом из видов социальных пакетов,"Базовый социальный пакет - льготы и компенсации, предоставляемые Работникам по настоящему Договору за счет средств Работодателя, в том числе на страховых принципах;
Софинансируемый социальный пакет - льготы и компенсации, предоставляемые Работникам по настоящему Договору, за счет средств Работодателя и Работника на принципах софинансирования;
Компенсируемый социальный пакет - один из элементов софинансируемого социального пакета, предоставляемый в виде компенсации Работникам высококвалифицированным, или достигшим значительных положительных производственных показателей, или имеющим редкую или дефицитную профессию, их личных затрат в пределах установленного лимита на приобретение социальных услуг, включенных в утвержденный перечень, которую осуществляет Работодатель;
Бонусный пакет - элемент системы мотивации, предусматривающий поощрения и награждения Работников за личный вклад в повышение эффективности деятельности и развития Компании, а также за проявленную активность и вовлеченность в решение корпоративных задач и участие в значимых для Компании проектах."
12.0,Забота компании о работнике,Коллективный договор,"Какие документы нужно предоставить в отдел кадров для  компенсации проживания в гостиницах, отелях, хостелах?",Порядок выплаты компенсации за проживание в гостиницах в отпуске,,,Перечень документов для компенсации проживания в отпуске,,"Как получить выплату за проживание в гостиницах, отелях или хостелах в отпуске?",компенсация проживания в отпуске,КСП компенсация проживания в отпуске,,"Документы для выплаты работнику компенсации в гостиницах, отелях, хостелах: 
1. Копия приказа о нахождении в отпуске получателя КСП;
2. Счет за проживание в гостинице на имя получателя КСП;
3. Документ об оплате (кассовый чек или бланк строгой отчетности с указанием обязательных реквизитов, предусмотренных законодательством Российской Федерации).

С перечнем документов, необходимых для выплаты работнику компенсации по другим элементам КСП, можно ознакомиться в приложении 6 распоряжения 465р от 4 марта 2011 г.",,
13.0,Забота о работниках,"Коллективный договор, КСП",Производится ли компенсация затрат на занятия физической культурой? ,Компания компенсирует расходы на спорт?,Производится ли компенсация затрат на занятия физической культурой? ,,компенсация за абонемент,компенсация затрат на занятия спортом,Предоставляет ли компания возможность компенсировать расходы на занятия спортом?,размер компенсации за спорт,,,"Компания частично компенсирует затраты на занятия физической культурой из расчета 400 руб. на одного работника в год (в соответствии с пунктом 7.33 Коллективного договора ОАО «РЖД» на 2023-2025 гг.).
Право на частичную компенсацию затрат имеют работники, не занимающиеся в физкультурно-спортивных клубах компании.
Если вы хотите получить компенсацию на абонемент в спортивный клуб, обратитесь с заявлением к ответственному работнику подразделения ОАО «РЖД», в ведении которого находится вопрос оформления документов на компенсацию затрат занятий физической культурой. 
Размер Компенсации устанавливается Комиссией в процентах от полной стоимости абонемента, исходя из средств, предусмотренных в бюджете предприятия на эти цели с учетом поданных заявлений, но не более 20 000 (двадцать тысяч) руб. одному работнику в год. Комиссия выносит решение о предоставлении Компенсации работнику и сумме Компенсации (в рублях).
",,
14.0,Забота о работниках,"ЗОЖ, спорт","Что нужно сделать, чтобы получить абонемент в спортивный зал?",Как получить абонемент в спортивный клуб?,К кому обратиться за компенсацией затрат на спорт?,Как получить компенсацию за занятия физической культурой?,Как вернуть деньги за спорт?,,Порядок компенсации затрат на занятия спортом,,,,"Если вы хотите получить компенсацию на абонемент в спортивный клуб, обратитесь с заявлением к ответственному работнику подразделения ОАО «РЖД», в ведении которого находится вопрос оформления документов на компенсацию затрат занятий физической культурой. 
Размер Компенсации устанавливается Комиссией в процентах от полной стоимости абонемента, исходя из средств, предусмотренных в бюджете предприятия на эти цели с учетом поданных заявлений, но не более 20 000 (двадцать тысяч) руб. одному работнику в год. Комиссия выносит решение о предоставлении Компенсации работнику и сумме Компенсации (в рублях).

Компания частично компенсирует затраты на занятия физической культурой из расчета 400 руб. на одного работника в год (в соответствии с пунктом 7.33 Коллективного договора ОАО «РЖД» на 2023-2025 годы).
Право на частичную компенсацию затрат имеют работники, не занимающиеся в физкультурно-спортивных клубах компании.",,
15.0,Забота о работниках,льготы,Какие есть социальные льготы?,социальные льготы для работников в ОАО «РЖД»,какие существуют социальные льготы в компании,какие есть социальные льготы для работников в компании,хочу узнать про социальные льготы,социальные льготы в компании,,,соц льготы,соц льготы в ржд,"Получить подробную информацию о социальных льготах и гарантиях, предоставляемых Коллективным договором, можно:
- у специалистов по управлению персоналом структурного подразделения;
- в профсоюзной организации;
- в Путеводителе по льготам, размещенном на Сервисном портале в блоге «Социальная поддержка».",,
16.0,Забота о работниках,льготы,Какой социальный пакет мне доступен,социальный пакет для работников ОАО «РЖД»,какой социальный пакет положен работникам компании,,хочу узнать про социальный пакет РЖД,какой социальный пакет есть у работников,какой социальный пакет мне положен как работнику ржд,,соц пакет,соц пакет ржд,"Социальный пакет, предоставляемый работникам, прописан в Коллективном договоре ОАО «РЖД». Коллективный договор заключается сроком на 3 года. Ознакомиться с действующим Коллективным договором можно на сайте компании РЖД https://company.rzd.ru  в разделе ""Документы"".",,
17.0,Забота о работниках,"льготы, гарантии, компенсации, статус молодого специалиста",На какие льготы имеет право претендовать молодой специалист?,"Льготы, предоставляемые молодому специалисту ОАО «РЖД»",Какие виды помощи молодым сотрудникам есть в ржд ,какие льготы существуют в компании для молодого специалиста,какие льготы положены молодому специалисту,какие льготы есть у молодого специалиста,какие у меня льготы как у молодого специалиста,,льготы для молодого спеца,,"Молодому специалисту предоставляются льготы в соответствии с законодательством Российской Федерации, Положением о молодом специалисте ОАО «РЖД», утвержденном распоряжением ОАО «РЖД» от 18 июля 2017 г. № 1397/р. Ознакомиться с Положением о молодом специалисте можно на сайте компании РЖД https://company.rzd.ru  в разделе «Документы» или проконсультироваться по интересующему вопросу у ответственного специалиста отдела по управлению персоналом структурного подразделения.",Льготы в формате списка,"Статус молодого специалиста РЖД предоставляет сотрудникам особые социальные гарантии, льготы и компенсации.
После приема на работу:
- единовременное пособие в размере месячного оклада;
- субсидируемый ипотечный кредит при покупке недвижимости: ипотечная ставка 2%,
При переезде на новое место работы:
- оплата расходов на переезд и обустройство;
- предоставление временного жилья и корпоративная поддержка при покупке недвижимости.
При работе в отдаленной местности с неразвитой социальной инфраструктурой:
- единовременное пособие 250 000 руб.;
- вознаграждение за первый и второй годы работы;
- предоставление жилья или компенсация аренды на период работы;
- ежемесячное пособие на воспитание ребенка, если второй родитель не работает из-за отсутствия рабочих мест или детских садов;
- установление ежемесячной оплаты услуг по содержанию, присмотру и уходу за воспитанником в образовательных учреждениях, имеющих дошкольные группы, в размере 5%  от полной стоимости;
- установление родительской платы в РЖД лицеях, имеющих в своей структуре интернат, в размере 5%  от полной стоимости
При рождении ребенка:
- безвозмездная субсидия на погашение части ипотеки;
- компенсация более 80% оплаты детского сада РЖД;
- компенсация более 75% стоимости путевки в детский летний лагерь РЖД."
18.0,Забота о работниках,"льготы, гарантии, компенсации, статус молодого специалиста",Какие гарантии предоставляются молодому специалисту?,"Гарантии, предоставляемые молодому специалисту ОАО «РЖД»",какие гарантии есть для молодых специалистов в компании,какие гарантии существуют в компании для молодого специалиста,какие гарантии положены молодому специалисту,на какие гарантии я могу претендовать как молодой специалист,"какие у меня есть гарантии, если я молодой специалист",,гарантии для молодого спеца,,"Молодому специалисту предоставляются льготы в соответствии с законодательством Российской Федерации, Положением о молодом специалисте ОАО «РЖД», утвержденном распоряжением ОАО «РЖД» от 18 июля 2017 г. № 1397/р. Ознакомиться с Положением о молодом специалисте можно на сайте компании РЖД https://company.rzd.ru  в разделе «Документы» или проконсультироваться по интересующему вопросу у ответственного специалиста отдела по управлению персоналом структурного подразделения.",Гарантии в формате списка,"Статус молодого специалиста РЖД предоставляет сотрудникам особые социальные гарантии, льготы и компенсации.
После приема на работу:
- единовременное пособие в размере месячного оклада;
- субсидируемый ипотечный кредит при покупке недвижимости: ипотечная ставка 2%,
При переезде на новое место работы:
- оплата расходов на переезд и обустройство;
- предоставление временного жилья и корпоративная поддержка при покупке недвижимости.
При работе в отдаленной местности с неразвитой социальной инфраструктурой:
- единовременное пособие 250 000 руб.;
- вознаграждение за первый и второй годы работы;
- предоставление жилья или компенсация аренды на период работы;
- ежемесячное пособие на воспитание ребенка, если второй родитель не работает из-за отсутствия рабочих мест или детских садов;
- установление ежемесячной оплаты услуг по содержанию, присмотру и уходу за воспитанником в образовательных учреждениях, имеющих дошкольные группы, в размере 5%  от полной стоимости;
- установление родительской платы в РЖД лицеях, имеющих в своей структуре интернат, в размере 5%  от полной стоимости
При рождении ребенка:
- безвозмездная субсидия на погашение части ипотеки;
- компенсация более 80% оплаты детского сада РЖД;
- компенсация более 75% стоимости путевки в детский летний лагерь РЖД."
19.0,Забота компании о работнике,Санаторно-курортное лечение,Как подать заявление на путевку?,как получить путевку,как взять путевку в санаторий,"что нужно сделать, чтобы взять путевку",хочу взять путевку,хочу получить путевку,где можно оформить путевку,оформление путевки,,,"Подать заявление можно двумя способами: 
1.Через Сервисный портал работника (раздел «Льготы и досуг», «Санаторно-курортный отдых», далее выбираем место отдыха, период отдыха и т.д. (объекты ОАО «РЖД»). 

2. Написать заявление в Комиссию по распределению путевок в санаторно-курортные и оздоровительные учреждения своего предприятия. 

C формой заявления и образцами документов расположены:

1) в Приложении №6 к Положению о бронировании, распределении и оплате путевок в структурные подразделения филиалов ОАО «РЖД», специализирующиеся на санаторно-курортном лечении, оздоровлении и отдыхе, утв. распоряжением ОАО «РЖД» от 04.09.2013 №1907р (в редакции распоряжения ОАО «РЖД» от 15.08.2022 № 2134/р);

2) в Приложении №6 к Положению о формировании корпоративного заказа, бронировании, распределении и оплате путевок в филиалы АО «РЖД-ЗДОРОВЬЕ», утв. распоряжением ОАО «РЖД» от 28.04.2015 №1096р (в редакции распоряжения ОАО «РЖД» от 14.07.2021 №1533/р).  ",,
